epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.40105,1.2207,4.15567,1.07848,0.00177,0.2,0.00555,0.00373,1.23548,3.92233,1.13996,4.444e-05,4.444e-05,4.444e-05
2,4.53036,1.14381,4.01399,1.05208,0.00348,0.23,0.00964,0.00617,1.21667,3.85629,1.07585,9.66903e-05,9.66903e-05,9.66903e-05
3,5.55437,1.1192,3.61901,1.00762,0.0047,0.28,0.03823,0.02067,1.12519,3.81557,1.01788,0.000145274,0.000145274,0.000145274
4,7.0193,1.18053,2.9928,1.01823,0.00845,0.64,0.16574,0.11251,1.10708,3.65611,0.97233,0.000190192,0.000190192,0.000190192
5,8.06042,1.127,2.32476,0.96075,0.01135,0.73,0.29214,0.19515,1.13791,3.34076,0.93136,0.000231444,0.000231444,0.000231444
6,9.17124,1.10538,2.39802,1.00439,0.01238,0.75,0.31061,0.20245,1.16362,3.21919,0.93047,0.000269029,0.000269029,0.000269029
7,10.9366,1.15121,2.16474,0.98995,0.01195,0.75,0.33342,0.21693,1.10582,3.06001,0.92841,0.000302947,0.000302947,0.000302947
8,12.588,1.07812,1.97458,0.99581,0.01193,0.75,0.38384,0.25438,1.04257,2.9993,0.91768,0.0003332,0.0003332,0.0003332
9,13.9244,1.03249,1.72647,0.97208,0.01208,0.75,0.47049,0.3284,1.01815,2.95401,0.93002,0.000359786,0.000359786,0.000359786
10,15.1005,1.1129,1.876,0.97419,0.01319,0.75,0.48088,0.33826,1.01438,2.8776,0.93538,0.000382706,0.000382706,0.000382706
11,16.1644,1.10491,1.69061,1.01703,1,0.27532,0.50338,0.3642,1.01285,2.80889,0.94008,0.00040196,0.00040196,0.00040196
12,17.3029,1.06787,1.63606,0.99431,1,0.2539,0.51617,0.38104,0.99998,2.69629,0.93578,0.000417547,0.000417547,0.000417547
13,18.357,1.08416,1.6342,1.00455,0.99444,0.28751,0.57123,0.4248,1.0252,2.59474,0.95985,0.000429468,0.000429468,0.000429468
14,19.4103,1.04203,1.50082,0.97342,0.99444,0.28751,0.57123,0.4248,1.0252,2.59474,0.95985,0.000437723,0.000437723,0.000437723
15,20.4539,0.98925,1.44572,0.95915,0.97365,0.29712,0.63134,0.45248,1.06566,2.40359,0.98168,0.000442311,0.000442311,0.000442311
16,21.4912,1.04255,1.39041,0.95266,0.9731,0.3832,0.70659,0.49237,1.1218,2.20612,1.01613,0.000443233,0.000443233,0.000443233
17,22.8134,0.98656,1.38527,0.96009,0.95643,0.42,0.77545,0.54289,1.12442,2.06181,1.00753,0.000440489,0.000440489,0.000440489
18,24.0294,0.98807,1.37231,0.95405,0.95643,0.42,0.77545,0.54289,1.12442,2.06181,1.00753,0.000434079,0.000434079,0.000434079
19,25.6413,1.01735,1.34161,0.96478,0.94546,0.48,0.7934,0.56509,1.10612,1.95743,0.99236,0.000424002,0.000424002,0.000424002
20,27.3021,1.07441,1.36537,0.96418,0.94046,0.48611,0.87127,0.64018,1.05519,1.80278,0.97181,0.000410259,0.000410259,0.000410259
21,29.5582,0.96044,1.51607,0.9664,0.94046,0.48611,0.87127,0.64018,1.05519,1.80278,0.97181,0.00037774,0.00037774,0.00037774
22,30.7701,0.92712,1.33305,0.92329,0.94986,0.58162,0.90072,0.68303,1.01071,1.74403,0.95534,0.000341077,0.000341077,0.000341077
23,31.785,0.93482,1.4289,0.93511,0.91655,0.74,0.91734,0.68682,1.01549,1.70845,0.95425,0.000304414,0.000304414,0.000304414
24,32.8068,0.90682,1.39981,0.91387,0.91655,0.74,0.91734,0.68682,1.01549,1.70845,0.95425,0.000267751,0.000267751,0.000267751
25,33.8126,0.95077,1.38211,0.93989,0.94639,0.73781,0.94248,0.68246,1.01293,1.61513,0.9647,0.000231088,0.000231088,0.000231088
26,34.7785,0.92535,1.32563,0.92192,0.94639,0.73781,0.94248,0.68246,1.01293,1.61513,0.9647,0.000194425,0.000194425,0.000194425
27,35.8299,0.90713,1.35551,0.95659,0.92155,0.74,0.94445,0.69713,1.00182,1.45646,0.9637,0.000157762,0.000157762,0.000157762
28,36.9432,0.9688,1.38565,0.92686,0.87964,0.9275,0.95329,0.70436,0.99392,1.29293,0.96761,0.000121099,0.000121099,0.000121099
29,38.0192,0.86695,1.24611,0.92605,0.87964,0.9275,0.95329,0.70436,0.99392,1.29293,0.96761,8.4436e-05,8.4436e-05,8.4436e-05
30,39.6864,0.8647,1.27767,0.9248,0.89658,0.92657,0.95329,0.71306,0.9996,1.18203,0.96858,4.7773e-05,4.7773e-05,4.7773e-05
